0,-0.0094,0.0062,0
1,-0.0049,0.0062,0
2,-0.0094,0.0012,0
3,-0.0049,0.0012,0
4,-0.0049,0.0112,0
5,-0.0059,0.0162,0
6,0.0001,0.0012,0
7,0.0001,0.0062,0
8,0.0001,0.0112,0
9,-0.0004,0.0162,0
10,-0.0014,0.0212,0
11,-0.0019,0.0259,0
12,-0.0239,0.0217,0
13,-0.0199,0.0122,0
14,-0.0149,0.0062,0
15,-0.0149,0.0012,0
16,-0.0149,0.0112,0
17,-0.0104,0.0117,0
18,-0.0219,0.0172,0
19,-0.0164,0.0162,0
20,-0.0114,0.0162,0
21,-0.0139,0.0207,0
22,-0.0189,0.0212,0
23,-0.0259,0.0177,0
24,-0.0099,-0.0043,0
25,-0.0065,-0.0113,0
26,-0.0049,-0.0143,0
27,-0.0049,-0.0193,0
28,0.0001,-0.0193,0
29,0.0006,-0.0243,0
30,0.0001,-0.0143,0
31,0.0001,-0.0093,0
32,-0.0049,-0.0093,0
33,0.0001,-0.0043,0
34,-0.0049,-0.0043,0
35,-0.0079,-0.0163,0
36,-0.0254,0.0122,0
37,-0.0319,0.0172,0
38,-0.0304,0.0122,0
39,-0.0354,0.0142,0
40,-0.0304,0.0072,0
41,-0.0349,0.0092,0
42,-0.0254,0.0072,0
43,-0.0384,0.0112,0
44,-0.0304,0.0022,0
45,-0.0254,0.0022,0
46,-0.0204,0.0022,0
47,-0.0204,0.0072,0
